PMID,Title,Abstract,Journal,Year
28017702,Arsenite in drinking water produces glucose intolerance in pregnant rats and their female offspring.,"Drinking water is the main source of arsenic exposure. Chronic exposure has been associated with metabolic disorders. Here we studied the effects of arsenic on glucose metabolism, in pregnant and post-partum of dams and their offspring. We administered 5 (A5) or 50 (A50) mg/L of sodium arsenite in drinking water to rats from gestational day 1 (GD1) until two months postpartum (2MPP), and to their offspring from weaning until 8 weeks old. Liver arsenic dose-dependently increased in arsenite-treated rats to levels similar to exposed population. Pregnant A50 rats gained less weight than controls and recovered normal weight at 2MPP. Arsenite-treated pregnant animals showed glucose intolerance on GD16-17, with impaired insulin secretion but normal insulin sensitivity; they showed dose-dependent increased pancreas insulin on GD18. All alterations reverted at 2MPP. Offspring from A50-treated mothers showed lower body weight at birth, 4 and 8 weeks of age, and glucose intolerance in adult females, probably due to insulin secretion and sensitivity alterations. Arsenic alters glucose homeostasis during pregnancy by altering beta-cell function, increasing risk of developing gestational diabetes. In pups, it induces low body weight from birth to 8 weeks of age, and glucose intolerance in females, demonstrating a sex specific response.",Food and chemical toxicology : an international journal published for the British Industrial Biological Research Association,2017
27997141,Neonatal Metabolomic Profiles Related to Prenatal Arsenic Exposure.,"Prenatal inorganic arsenic (iAs) exposure is associated with health effects evident at birth and later in life. An understanding of the relationship between prenatal iAs exposure and alterations in the neonatal metabolome could reveal critical molecular modifications, potentially underpinning disease etiologies. In this study, nuclear magnetic resonance (NMR) spectroscopy-based metabolomic analysis was used to identify metabolites in neonate cord serum associated with prenatal iAs exposure in participants from the Biomarkers of Exposure to ARsenic (BEAR) pregnancy cohort, in Gómez Palacio, Mexico. Through multivariable linear regression, ten cord serum metabolites were identified as significantly associated with total urinary iAs and/or iAs metabolites, measured as %iAs, %monomethylated arsenicals (MMAs), and %dimethylated arsenicals (DMAs). A total of 17 metabolites were identified as significantly associated with total iAs and/or iAs metabolites in cord serum. These metabolites are indicative of changes in important biochemical pathways such as vitamin metabolism, the citric acid (TCA) cycle, and amino acid metabolism. These data highlight that maternal biotransformation of iAs and neonatal levels of iAs and its metabolites are associated with differences in neonate cord metabolomic profiles. The results demonstrate the potential utility of metabolites as biomarkers/indicators of in utero environmental exposure.",Environmental science & technology,2017
27983596,Estrogenic Endocrine Disrupting Chemicals Influencing NRF1 Regulated Gene Networks in the Development of Complex Human Brain Diseases.,"During the development of an individual from a single cell to prenatal stages to adolescence to adulthood and through the complete life span, humans are exposed to countless environmental and stochastic factors, including estrogenic endocrine disrupting chemicals. Brain cells and neural circuits are likely to be influenced by estrogenic endocrine disruptors (EEDs) because they strongly dependent on estrogens. In this review, we discuss both environmental, epidemiological, and experimental evidence on brain health with exposure to oral contraceptives, hormonal therapy, and EEDs such as bisphenol-A (BPA), polychlorinated biphenyls (PCBs), phthalates, and metalloestrogens, such as, arsenic, cadmium, and manganese. Also we discuss the brain health effects associated from exposure to EEDs including the promotion of neurodegeneration, protection against neurodegeneration, and involvement in various neurological deficits; changes in rearing behavior, locomotion, anxiety, learning difficulties, memory issues, and neuronal abnormalities. The effects of EEDs on the brain are varied during the entire life span and far-reaching with many different mechanisms. To understand endocrine disrupting chemicals mechanisms, we use bioinformatics, molecular, and epidemiologic approaches. Through those approaches, we learn how the effects of EEDs on the brain go beyond known mechanism to disrupt the circulatory and neural estrogen function and estrogen-mediated signaling. Effects on EEDs-modified estrogen and nuclear respiratory factor 1 (NRF1) signaling genes with exposure to natural estrogen, pharmacological estrogen-ethinyl estradiol, PCBs, phthalates, BPA, and metalloestrogens are presented here. Bioinformatics analysis of gene-EEDs interactions and brain disease associations identified hundreds of genes that were altered by exposure to estrogen, phthalate, PCBs, BPA or metalloestrogens. Many genes modified by EEDs are common targets of both 17 β-estradiol (E2) and NRF1. Some of these genes are involved with brain diseases, such as Alzheimer's Disease (AD), Parkinson's Disease, Huntington's Disease, Amyotrophic Lateral Sclerosis, Autism Spectrum Disorder, and Brain Neoplasms. For example, the search of enriched pathways showed that top ten E2 interacting genes in AD-<i>APOE</i>, <i>APP</i>, <i>ATP5A1</i>, <i>CALM1</i>, <i>CASP3</i>, <i>GSK3B</i>, <i>IL1B</i>, <i>MAPT</i>, <i>PSEN2</i> and <i>TNF-</i>underlie the enrichment of the Kyoto Encyclopedia of Genes and Genomes (KEGG) AD pathway. With AD, the six E2-responsive genes are NRF1 target genes: <i>APBB2</i>, <i>DPYSL2</i>, <i>EIF2S1</i>, <i>ENO1</i>, <i>MAPT</i>, and <i>PAXIP1</i>. These genes are also responsive to the following EEDs: ethinyl estradiol (<i>APBB2</i>, <i>DPYSL2</i>, <i>EIF2S1</i>, <i>ENO1</i>, <i>MAPT</i>, and <i>PAXIP1</i>), BPA (<i>APBB2</i>, <i>EIF2S1</i>, <i>ENO1</i>, <i>MAPT</i>, and <i>PAXIP1</i>), dibutyl phthalate (DPYSL2, EIF2S1, and ENO1), diethylhexyl phthalate (<i>DPYSL2</i> and <i>MAPT</i>). To validate findings from Comparative Toxicogenomics Database (CTD) curated data, we used Bayesian network (BN) analysis on microarray data of AD patients. We observed that both gender and NRF1 were associated with AD. The female NRF1 gene network is completely different from male human AD patients. AD-associated NRF1 target genes-<i>APLP1</i>, <i>APP</i>, <i>GRIN1</i>, <i>GRIN2B</i>, <i>MAPT</i>, <i>PSEN2</i>, <i>PEN2</i>, and <i>IDE</i>-are also regulated by E2. NRF1 regulates targets genes with diverse functions, including cell growth, apoptosis/autophagy, mitochondrial biogenesis, genomic instability, neurogenesis, neuroplasticity, synaptogenesis, and senescence. By activating or repressing the genes involved in cell proliferation, growth suppression, DNA damage/repair, apoptosis/autophagy, angiogenesis, estrogen signaling, neurogenesis, synaptogenesis, and senescence, and inducing a wide range of DNA damage, genomic instability and DNA methylation and transcriptional repression, NRF1 may act as a major regulator of EEDs-induced brain health deficits. In summary, estrogenic endocrine disrupting chemicals-modified genes in brain health deficits are part of both estrogen and NRF1 signaling pathways. Our findings suggest that in addition to estrogen signaling, EEDs influencing NRF1 regulated communities of genes across genomic and epigenomic multiple networks may contribute in the development of complex chronic human brain health disorders.",International journal of molecular sciences,2016
27966664,Maternal/fetal metabolomes appear to mediate the impact of arsenic exposure on birth weight: A pilot study.,"Arsenic exposure has been associated with low birth weight. However, the underlying mechanisms are not well understood. Alterations to metabolites may act as causal mediators of the effect of arsenic exposure on low birth weight. This pilot study aimed to explore the role of metabolites in mediating the association of arsenic exposure on infant birth weight. Study samples were selected from a well-established prospectively enrolled cohort in Bangladesh comprising 35 newborns and a subset of 20 matched mothers. Metabolomics profiling was performed on 35 cord blood samples and 20 maternal peripheral blood samples collected during the second trimester of pregnancy. Inorganic arsenic (iAs) exposure was evaluated via cord blood samples and maternal toenail samples collected during the first trimester. Multiple linear regression and mediation analyses were used to explore the relationship between iAs exposure, metabolite alterations, and low birth weight. Cord blood arsenic level was correlated with elevated levels of 17-methylstearate, laurate (12:0) and 4-vinylphenol sulfate along with lower birth weight. Prenatal maternal toenail iAs level was associated with two peripheral blood metabolites (butyrylqlycine and tartarate), which likely contributed to higher cord blood iAs levels both independently and interactively. Findings of this pilot study indicate that both intrauterine and maternal peripheral blood metabolites appear to influence the toxic effect of inorganic arsenic exposure on low birth weight.",Journal of exposure science & environmental epidemiology,2017
27880879,Arsenic levels among pregnant women and newborns in Canada: Results from the Maternal-Infant Research on Environmental Chemicals (MIREC) cohort.,"Arsenic is a common environmental contaminant from both naturally-occurring and anthropomorphic sources and human exposure can be detected in various tissues. Its toxicity depends on many factors including the chemical form, valence state, bioavailability, metabolism and detoxification within the human body. Of paramount concern, particularly with respect to health effects in children, is the timing of exposure as the prenatal and early life periods are more susceptible to toxic effects. The Maternal-Infant Research on Environmental Chemicals (MIREC) cohort was established to obtain national-level biomonitoring data for approximately 2,000 pregnant women and their infants between 2008 and 2011 from 10 Canadian cities. We measured total arsenic (As) in 1st and 3rd trimester maternal blood, umbilical cord blood, and infant meconium and speciated arsenic in 1st trimester maternal urine. Most pregnant women had detectable levels of total arsenic in blood (92.5% and 87.3%, respectively, for 1st and 3rd trimester); median difference between 1st and 3rd trimester was 0.1124µg/L (p<0.0001), but paired samples were moderately correlated (Spearman r=0.41, p<0.0001). Most samples were below the LOD for umbilical cord blood (50.9%) and meconium (93.9%). In 1st trimester urine samples, a high percentage (>50%) of arsenic species (arsenous acid (As-III), arsenic acid (As-V), monomethylarsonic acid (MMA), and arsenobetaine (AsB)) were also below the limit of detection, except dimethylarsinic acid (DMA). DMA (>85% detected) ranged from <LOD to 64.42 (95th percentile: 11.99)µgAs/L. There was a weak but significant correlation between total arsenic in blood and specific gravity-adjusted DMA in urine (Spearman r=0.33, p<0.0001). Among this population of pregnant woman and newborns, levels of arsenic measured in blood and urine were lower than national population figures for Canadian women of reproductive age (20-39 years). In general, higher arsenic levels were observed in women who were older, foreign-born (predominantly from Asian countries), and had higher education. Further research is needed to elucidate sources of exposure and factors that may influence arsenic exposure in pregnant women and children.",Environmental research,2017
27801974,Does arsenic increase the risk of neural tube defects among a highly exposed population? A new case-control study in Bangladesh.,"Neural tube defects are debilitating birth defects that occur when the developing neural plate fails to close in early gestation. Arsenic induces neural tube defects in animal models, but whether environmental arsenic exposure increases risk of neural tube defects in humans is unknown.",Birth defects research,2017
29354260,Developmental Windows of Susceptibility to Inorganic Arsenic: A Survey of Current Toxicologic and Epidemiologic Data.,"Globally, millions of people are exposed to elevated levels of inorganic arsenic (iAs) via drinking water. Exposure to iAs is associated with a wide range of negative health outcomes, including cancers, skin lesions, neurological impairment, cardiovascular diseases, and an increased susceptibility to infection. Among those exposed to iAs, the developing fetus and young children represent particularly sensitive subpopulations. Specifically, it has been noted in animal models and human populations that prenatal and early life iAs exposures are associated with diseases occurring during childhood and later in life. Recent epidemiologic and toxicologic studies have also demonstrated that epigenetic alterations may play a key mechanistic role underlying many of the iAs-associated health outcomes, including the carcinogenic and immunologic effects of exposure. This review summarizes some of the key studies related to prenatal and early life iAs exposure and highlights the complexities in isolating the precise developmental windows of exposure associated with these health outcomes.",Toxicology research,2016
27751817,Prenatal arsenic exposure alters REST/NRSF and microRNA regulators of embryonic neural stem cell fate in a sex-dependent manner.,"Exposure to arsenic, a common environmental toxin found in drinking water, leads to a host of neurological pathologies. We have previously demonstrated that developmental exposure to a low level of arsenic (50ppb) alters epigenetic processes that underlie deficits in adult hippocampal neurogenesis leading to aberrant behavior. It is unclear if arsenic impacts the programming and regulation of embryonic neurogenesis during development when exposure occurs. The master negative regulator of neural-lineage, REST/NRSF, controls the precise timing of fate specification and differentiation of neural stem cells (NSCs). Early in development (embryonic day 14), we observed increased expression of Rest, its co-repressor, CoREST, and the inhibitory RNA binding/splicing protein, Ptbp1, and altered expression of mRNA spliced isoforms of Pbx1 that are directly regulated by these factors in the male brain in response to prenatal 50ppb arsenic exposure. These increases were concurrent with decreased expression of microRNA-9 (miR-9), miR-9*, and miR-124, all of which are REST/NRSF targets and inversely regulate Rest expression to allow for maturation of NSCs. Exposure to arsenic decreased the formation of neuroblasts in vitro from NSCs derived from male pup brains. The female response to arsenic was limited to increased expression of CoREST and Ptbp2, an RNA binding protein that allows for appropriate splicing of genes involved in the progression of neurogenesis. These changes were accompanied by increased neuroblast formation in vitro from NSCs derived from female pups. Unexposed male mice express transcriptomic factors to induce differentiation earlier in development compared to unexposed females. Thus, arsenic exposure likely delays differentiation of NSCs in males while potentially inducing precocious differentiation in females early in development. These effects are mitigated by embryonic day 18 of development. Arsenic-induced dysregulation of the regulatory loop formed by REST/NRSF, its target microRNAs, miR-9 and miR-124, and RNA splicing proteins, PTBP1 and 2, leads to aberrant programming of NSC function that is perhaps perpetuated into adulthood inducing deficits in differentiation we have previously observed.",Neurotoxicology and teratology,2017
27589886,Metabolic targets of endocrine disrupting chemicals assessed by cord blood transcriptome profiling.,"Early life exposure to endocrine disrupting chemicals (EDCs) has been frequently associated with impaired perinatal growth, an important risk factor for later onset of metabolic disorders. We analyzed whether the cord blood transcriptome showed early indications of alterations in metabolic processes in 195 human samples in relation to cord blood levels of dichlorodiphenyldichloroethylene (p,p'-DDE), polychlorinated biphenyl-153 (PCB-153), perfluorooctanoic acid (PFOA), and perfluorooctane sulfonate (PFOS). Overall, 39 metabolically relevant transcription factors were significantly enriched (31 by p,p'-DDE, 10 by PCB-153, 8 by PFOA, and 2 by PFOS). These included the glucocorticoid receptor (p,p'-DDE and PCB-153) and the progesterone receptor (PFOA and PFOS). The 'insulin receptor signaling', 'acute phase response signaling', 'Interleukin(IL)-6 signaling', and 'prolactin signaling' pathways were significantly enriched in relation to p,p'-DDE. Transcriptional changes at birth suggest a role for specific metabolic targets as a link between prenatal EDC exposure and metabolic disorders later in life.","Reproductive toxicology (Elmsford, N.Y.)",2016
27479242,Arsenic and the Placental Epigenome: Unlocking the Secrets of Prenatal Exposure.,,Environmental health perspectives,2016
27378155,Infant and mother related outcomes from exposure to metals with endocrine disrupting properties during pregnancy.,"Endocrine-related adverse health effects from exposure to heavy metals such as lead, arsenic, cadmium, and mercury are yet to be adequately described. The purpose of this review was to gain insight into maternal exposure to heavy metals, and to identify potential endocrine-related adverse health effects in the mother and the infant.",The Science of the total environment,2016
27325076,A Systems Toxicology-based Approach Reveals Biological Pathways Dysregulated by Prenatal Arsenic Exposure.,"Prenatal exposure to inorganic arsenic (iAs) is associated with dysregulated fetal gene and protein expression. Potential biological mechanisms that underlie these changes include, but are not limited to, changes to the epigenome.",Annals of global health,2016
27187434,Combined Effects of Prenatal Exposures to Environmental Chemicals on Birth Weight.,"Prenatal chemical exposure has been frequently associated with reduced fetal growth by single pollutant regression models although inconsistent results have been obtained. Our study estimated the effects of exposure to single pollutants and mixtures on birth weight in 248 mother-child pairs. Arsenic, copper, lead, manganese and thallium were measured in cord blood, cadmium in maternal blood, methylmercury in maternal hair, and five organochlorines, two perfluorinated compounds and diethylhexyl phthalate metabolites in cord plasma. Daily exposure to particulate matter was modeled and averaged over the duration of gestation. In single pollutant models, arsenic was significantly associated with reduced birth weight. The effect estimate increased when including cadmium, and mono-(2-ethyl-5-carboxypentyl) phthalate (MECPP) co-exposure. Combining exposures by principal component analysis generated an exposure factor loaded by cadmium and arsenic that was associated with reduced birth weight. MECPP induced gender specific effects. In girls, the effect estimate was doubled with co-exposure of thallium, PFOS, lead, cadmium, manganese, and mercury, while in boys, the mixture of MECPP with cadmium showed the strongest association with birth weight. In conclusion, birth weight was consistently inversely associated with exposure to pollutant mixtures. Chemicals not showing significant associations at single pollutant level contributed to stronger effects when analyzed as mixtures.",International journal of environmental research and public health,2016
27179287,Predicting Behaviors to Reduce Toxic Chemical Exposures Among New and Expectant Mothers: The Role of Distal Variables Within the Integrative Model of Behavioral Prediction.,"There is a growing body of evidence linking childhood exposure to environmental toxins and a range of adverse health outcomes, including preterm birth, cognitive deficits, and cancer. Little is known, however, about what drives mothers to engage in health behaviors to reduce such risks. Guided by the integrative model of behavioral prediction, this study surveyed women who were pregnant and/or had children younger than 7 years (N = 819) to identify the factors that determine engagement in behaviors to reduce childhood exposure to toxic chemicals in the environment. Structural equation modeling pertaining to three different environmental toxins-bisphenol A, arsenic, and pesticides-demonstrated that perceived normative pressure was the primary determinant of behavior across all three models. Additionally, we identified two key distal variables-perceived risk and information seeking-that not only increased the model's predictive power but also consistently and positively predicted perceived social norms regarding exposure reduction behaviors. Findings also suggest important differences across these behaviors. Implications for health communication researchers and practitioners developing interventions, communication campaigns, and persuasive messages to promote prenatal and pediatric environmental health are discussed.",Health education & behavior : the official publication of the Society for Public Health Education,2016
27064386,Prenatal Exposure to Arsenic Impairs Behavioral Flexibility and Cortical Structure in Mice.,"Exposure to arsenic from well water in developing countries is suspected to cause developmental neurotoxicity. Although, it has been demonstrated that exposure to sodium arsenite (NaAsO2) suppresses neurite outgrowth of cortical neurons in vitro, it is largely unknown how developmental exposure to NaAsO2 impairs higher brain function and affects cortical histology. Here, we investigated the effect of prenatal NaAsO2 exposure on the behavior of mice in adulthood, and evaluated histological changes in the prelimbic cortex (PrL), which is a part of the medial prefrontal cortex that is critically involved in cognition. Drinking water with or without NaAsO2 (85 ppm) was provided to pregnant C3H mice from gestational days 8 to 18, and offspring of both sexes were subjected to cognitive behavioral analyses at 60 weeks of age. The brains of female offspring were subsequently harvested and used for morphometrical analyses. We found that both male and female mice prenatally exposed to NaAsO2 displayed an impaired adaptation to repetitive reversal tasks. In morphometrical analyses of Nissl- or Golgi-stained tissue sections, we found that NaAsO2 exposure was associated with a significant increase in the number of pyramidal neurons in layers V and VI of the PrL, but not other layers of the PrL. More strikingly, prenatal NaAsO2 exposure was associated with a significant decrease in neurite length but not dendrite spine density in all layers of the PrL. Taken together, our results indicate that prenatal exposure to NaAsO2 leads to behavioral inflexibility in adulthood and cortical disarrangement in the PrL might contribute to this behavioral impairment.",Frontiers in neuroscience,2016
27040964,Hematological Practice in Hong Kong and China.,"Thalassemias and hemophilias are the most important inherited hematological diseases in Hong Kong and China. Prenatal diagnosis has significantly decreased the burden of these diseases. For thalassemia major, adequate transfusion and iron chelation therapy have dramatically improved patient outlook. Hematopoietic stem cell transplantation is curative for thalassemia major and is increasingly adopted. The efficacy of arsenic trioxide in acute promyelocytic leukemia (APL) was discovered in China. An oral formulation of arsenic trioxide was developed in Hong Kong for newly diagnosed and relapsed APL patients. With combination chemotherapy containing non-P-glycoprotein-dependent drugs and L-asparaginase, durable remission can be achieved in the most patients.",Hematology/oncology clinics of North America,2016
27007730,Agricultural Compounds in Water and Birth Defects.,"Agricultural compounds have been detected in drinking water, some of which are teratogens in animal models. The most commonly detected agricultural compounds in drinking water include nitrate, atrazine, and desethylatrazine. Arsenic can also be an agricultural contaminant, although arsenic often originates from geologic sources. Nitrate has been the most studied agricultural compound in relation to prenatal exposure and birth defects. In several case-control studies published since 2000, women giving birth to babies with neural tube defects, oral clefts, and limb deficiencies were more likely than control mothers to be exposed to higher concentrations of drinking water nitrate during pregnancy. Higher concentrations of atrazine in drinking water have been associated with abdominal defects, gastroschisis, and other defects. Elevated arsenic in drinking water has also been associated with birth defects. Since these compounds often occur as mixtures, it is suggested that future research focus on the impact of mixtures, such as nitrate and atrazine, on birth defects.",Current environmental health reports,2016
26973968,Arsenic Toxicity in Male Reproduction and Development.,"Arsenic is a toxic metalloid that exists ubiquitously in the environment, and affects global health problems due to its carcinogenicity. In most populations, the main source of arsenic exposure is the drinking water. In drinking water, chronic exposure to arsenic is associated with increased risks of various cancers including those of skin, lung, bladder, and liver, as well as numerous other non-cancer diseases including gastrointestinal and cardiovascular diseases, diabetes, and neurologic and cognitive problems. Recent emerging evidences suggest that arsenic exposure affects the reproductive and developmental toxicity. Prenatal exposure to inorganic arsenic causes adverse pregnancy outcomes and children's health problems. Some epidemiological studies have reported that arsenic exposure induces premature delivery, spontaneous abortion, and stillbirth. In animal studies, inorganic arsenic also causes fetal malformation, growth retardation, and fetal death. These toxic effects depend on dose, route and gestation periods of arsenic exposure. In males, inorganic arsenic causes reproductive dysfunctions including reductions of the testis weights, accessory sex organs weights, and epididymal sperm counts. In addition, inorganic arsenic exposure also induces alterations of spermatogenesis, reductions of testosterone and gonadotrophins, and disruptions of steroidogenesis. However, the reproductive and developmental problems following arsenic exposure are poorly understood, and the molecular mechanism of arsenic-induced reproductive toxicity remains unclear. Thus, we further investigated several possible mechanisms underlying arsenic-induced reproductive toxicity.",Development & reproduction,2015
26968381,Neurodevelopmental outcomes among 2- to 3-year-old children in Bangladesh with elevated blood lead and exposure to arsenic and manganese in drinking water.,"The people of Bangladesh are currently exposed to high concentrations of arsenic and manganese in drinking water, as well as elevated lead in many regions. The objective of this study was to investigate associations between environmental exposure to these contaminants and neurodevelopmental outcomes among Bangladeshi children.",Environmental health : a global access science source,2016
26953705,Arsenic projects in SE Asia.,"Early life exposure to inorganic arsenic is associated with a wide range of malignant and chronic disease outcomes in humans. Prenatal arsenic exposure may give rise to adverse effects on child health and development as arsenic readily passes through the placenta in human beings. The impact of maternal arsenic exposure on fetal gene expression was conducted in pregnant women living in Southern Thailand. Arsenic exposed newborns had significantly higher levels of arsenic in cord blood, and a set of genes associated with numerous biological pathways, including cell signaling, apoptosis, inflammatory and stress response. A slight increase in promoter methylation of p53 in cord blood lymphocytes which correlated with arsenic accumulation in nails was observed in these exposed newborns. A follow-up study on these exposed children showed a significant increase in oxidative DNA damage, measured as 8-hydroxydeoxyguanosine (8-OHdG) in saliva. In addition, levels of urinary 8-OHdG excretion and salivary hOGG1 expression were significantly decreased in exposed children suggesting a defect in repair of 8-OHdG in arsenic-exposed children. Our study indicates that prenatal arsenic and continued exposure through early childhood can trigger various genetic and epigenetic alterations that may lead to disease development later in life.",Reviews on environmental health,2016
26930461,"Response to ""Comment on 'Effects of in Utero Exposure to Arsenic during the Second Half of Gestation on Reproductive End Points and Metabolic Parameters in Female CD-1 Mice'"".",,Environmental health perspectives,2016
26930347,"Comment on ""Effects of in Utero Exposure to Arsenic during the Second Half of Gestation on Reproductive End Points and Metabolic Parameters in Female CD-1 Mice"".",,Environmental health perspectives,2016
26928318,Analysis of maternal polymorphisms in arsenic (+3 oxidation state)-methyltransferase AS3MT and fetal sex in relation to arsenic metabolism and infant birth outcomes: Implications for risk analysis.,"Arsenic (+3 oxidation state) methyltransferase (AS3MT) is the key enzyme in the metabolism of inorganic arsenic (iAs). Polymorphisms of AS3MT influence adverse health effects in adults, but little is known about their role in iAs metabolism in pregnant women and infants. The relationships between seven single nucleotide polymorphisms (SNPs) in AS3MT and urinary concentrations of iAs and its methylated metabolites were assessed in mother-infant pairs of the Biomarkers of Exposure to ARsenic (BEAR) cohort. Maternal alleles for five of the seven SNPs (rs7085104, rs3740400, rs3740393, rs3740390, and rs1046778) were associated with urinary concentrations of iAs metabolites, and alleles for one SNP (rs3740393) were associated with birth outcomes/measures. These associations were strongly dependent upon the male sex of the fetus but independent of fetal genotype for AS3MT. These data highlight a potential sex-dependence of the relationships among maternal genotype, iAs metabolism and infant health outcomes.","Reproductive toxicology (Elmsford, N.Y.)",2016
26859631,Prenatal Arsenic Exposure and Birth Outcomes among a Population Residing near a Mining-Related Superfund Site.,"Limited epidemiologic data exist on prenatal arsenic exposure and fetal growth, particularly in the context of co-exposure to other toxic metals.",Environmental health perspectives,2016
26855884,Sex-Dependent effects of developmental arsenic exposure on methylation capacity and methylation regulation of the glucocorticoid receptor system in the embryonic mouse brain.,"Previously we have shown that prenatal moderate arsenic exposure (50 ppb) disrupts glucocorticoid receptor (GR) programming and that these changes continue into adolescence in males. However, it was not clear what the molecular mechanisms were promoting these GR programming changes or if these changes occurred in arsenic-exposed females. In the present studies, we assessed the effects of arsenic on protein and mRNA of the glucocorticoid receptor (GR) and 11β-hydroxysteroid dehydrogenase (Hsd) isozymes and compared the levels of methylation within the promoters of the Nr3c1 and Hsd11b1 genes in female fetal brain at embryonic days (E) 14 and 18. Prenatal arsenate exposure produced sex specific effects on the glucocorticoid system. Compared to males, females were resistant to arsenic induced changes in GR, 11β-Hsd-1 and 11β-Hsd-2 protein levels despite observed elevations in Nr3c1 and Hsd11b2 mRNA. This sex-specific effect was not due to differences in the methylation of the GR promoter as methylation of the Nr3c1 gene was either unchanged (region containing the egr-1 binding site) or similarly reduced (region containing the SP-1 transcription factor binding site) in both males and females exposed to arsenic. Arsenic did produce sex and age-specific changes in the methylation of Hsd11b1 gene, producing increased methylation in females at E14 and decreased methylation at E18. These changes were not attributed to changes in DNMT levels. Since arsenate metabolism could interfere with the generation of methyl donor groups, we assessed glutathione (GSH), s-adenosylmethionine (SAM) and As 3 methyltransferase (As3MT). Exposed males and females had similar levels of As3MT and SAM; however, females had higher levels of GSH/GSSH. It is possible that this greater anti-oxidative capacity within the females provides protection against low to moderate arsenate. Our data suggest that the GR signaling system in female offspring was not as affected by prenatal arsenic and predicts that female arsenic-exposed mice should have normal GR feedback regulation.",Toxicology reports,2015
26771251,Epigenome-Wide Assessment of DNA Methylation in the Placenta and Arsenic Exposure in the New Hampshire Birth Cohort Study (USA).,"Arsenic is one of the most commonly encountered environmental toxicants, and research from model systems has suggested that one mode of its toxic activity may be through alterations in DNA methylation. In utero exposure to arsenic can affect fetal, newborn, and infant health, resulting in a range of phenotypic outcomes.",Environmental health perspectives,2016
26646901,"In utero arsenic exposure and epigenome-wide associations in placenta, umbilical artery, and human umbilical vein endothelial cells.","Exposure to arsenic early in life has been associated with increased risk of several chronic diseases and is believed to alter epigenetic programming in utero. In the present study, we evaluate the epigenome-wide association of arsenic exposure in utero and DNA methylation in placenta (n = 37), umbilical artery (n = 45) and human umbilical vein endothelial cells (HUVEC) (n = 52) in a birth cohort using the Infinium HumanMethylation450 BeadChip array. Unadjusted and cell mixture adjusted associations for each tissue were examined along with enrichment analyses relative to CpG island location and omnibus permutation tests of association among biological pathways. One CpG in artery (cg26587014) and 4 CpGs in placenta (cg12825509; cg20554753; cg23439277; cg21055948) reached a Bonferroni adjusted level of significance. Several CpGs were differentially methylated in artery and placenta when controlling the false discovery rate (q-value<0.05), but none in HUVEC. Enrichment of hypomethylated CpG islands was observed for artery while hypermethylation of open sea regions were present in placenta relative to prenatal arsenic exposure. The melanogenesis pathway was differentially methylated in artery (Max F P < 0.001), placenta (Max F P < 0.001), and HUVEC (Max F P = 0.02). Similarly, the insulin-signaling pathway was differentially methylated in artery (Max F P = 0.02), placenta (Max F P = 0.02), and HUVEC (Max F P = 0.02). Our results show that prenatal arsenic exposure can alter DNA methylation in artery and placenta but not in HUVEC. Further studies are needed to determine if these alterations in DNA methylation mediate the effect of prenatal arsenic exposure and health outcomes later in life.",Epigenetics,2015
26586927,Autism-Like Behavior and Epigenetic Changes Associated with Autism as Consequences of In Utero Exposure to Environmental Pollutants in a Mouse Model.,"We tested the hypothesis that in utero exposure to heavy metals increases autism-like behavioral phenotypes in adult animals and induces epigenetic changes in genes that have roles in the etiology of autism. Mouse dams were treated with cadmium, lead, arsenate, manganese, and mercury via drinking water from gestational days (E) 1-10. Valproic acid (VPA) injected intraperitoneally once on (E) 8.5 served as a positive control. Young male offspring were tested for behavioral deficits using four standardized behavioral assays. In this study, in utero exposure to heavy metals resulted in multiple behavioral abnormalities that persisted into adulthood. VPA and manganese induced changes in perseverative/impulsive behavior and social dominance behavior, arsenic caused changes only in perseverative/impulsive behavior, and lead induced abnormalities in social interaction in comparison to the control animals. Brain samples from Mn, Pb, and VPA treated and control animals were evaluated for changes in CpG island methylation in promoter regions and associated changes in gene expression. The Chd7 gene, essential for neural crest cell migration and patterning, was found to be hypomethylated in each experimental animal tested compared to water-treated controls. Furthermore, distinct patterns of CpG island methylation yielded novel candidate genes for further investigation.",Behavioural neurology,2015
26583609,Estimating Effects of Arsenic Exposure During Pregnancy on Perinatal Outcomes in a Bangladeshi Cohort.,The relationship between arsenic and birth weight is not well understood. The objective was to evaluate the causal relationship between prenatal arsenic exposure and birth weight considering the potential mediation effects of gestational age and maternal weight gain during pregnancy using structural equation models.,"Epidemiology (Cambridge, Mass.)",2016
26511679,Prenatal arsenic exposure and drowning among children in Bangladesh.,"There is increasing concern regarding adverse effects of prenatal arsenic exposure on the neurodevelopment of children. We analyzed mortality data for children, who were born to 11,414 pregnant women between 2002 and 2004, with an average age of 5 years of follow-up. Individual drinking-water arsenic exposure during pregnancy was calculated using tubewell water arsenic concentration between last menstrual period and date of birth. There were 84 drowning deaths registered, with cause of death ascertained using verbal autopsy (International Classification of Diseases, 10th revision, codes X65-X70). The prenatal water arsenic exposure distribution was tertiled, and the risk of drowning mortality was estimated by Cox proportional hazard models, adjusted for potential confounders. We observed a significant association between prenatal arsenic exposure and drowning in children aged 1-5 years in the highest exposure tertile (HR=1.74, 95% CI: 1.03-2.94). This study showed that in utero arsenic exposure might be associated with excess mortality among children aged 1-5 years due to drowning.",Global health action,2015
